model,best_threshold,accuracy,f1,precision,recall,roc_auc
lightgbm,0.54,0.8916390336333492,0.8520135856380397,0.8660485302821069,0.8384262796027502,0.9631743192833175
xgboost,0.59,0.8842491710090005,0.8328830831310057,0.8997414111562615,0.7752737458619812,0.9581415830514464
random_forest,0.51,0.897797252486973,0.8576800026386094,0.8898774895626582,0.8277310924369747,0.9625212356572628
logistic,0.61,0.8105163429654192,0.7328167791062721,0.7707601517493325,0.6984339190221543,0.87480970847493
