,precision,recall,f1-score,support
0,0.9019884820167337,0.9393105009052505,0.9202712440642264,26512.0
1,0.8898774895626582,0.8277310924369747,0.8576800026386094,15708.0
accuracy,0.897797252486973,0.897797252486973,0.897797252486973,0.897797252486973
macro avg,0.8959329857896959,0.8835207966711126,0.8889756233514179,42220.0
weighted avg,0.8974825732183297,0.897797252486973,0.8969841000492196,42220.0
